table_index,name,c_entry,source_file,offset,sexptype,eval,arity,kernel,evaluation_policy,argument_policy,coercion_policy,vector_policy,index_policy,attribute_policy,dispatch_policy,effect_policy,replacement_policy,attribute_operation,matrix_operation
87,::,do_colon2,src/main/envir.c,0,SPECIALSXP,200,2,language,special,fixed,identity,scalar,none,drop,none,control-or-environment,none,none,none
88,:::,do_colon3,src/main/envir.c,0,SPECIALSXP,200,2,language,special,fixed,identity,scalar,none,drop,none,control-or-environment,none,none,none
89,all,do_logic3,src/main/logic.c,1,BUILTINSXP,1,-1,logical-reduction,eager,variadic,logical,reduce,none,summary,summary-group,pure,none,none,none
90,any,do_logic3,src/main/logic.c,2,BUILTINSXP,1,-1,logical-reduction,eager,variadic,logical,reduce,none,summary,summary-group,pure,none,none,none
91,...elt,do_dotsElt,src/main/envir.c,0,BUILTINSXP,201,1,environment,eager,fixed,identity,scalar,none,drop,none,environment,none,none,none
92,...length,do_dotsLength,src/main/envir.c,0,BUILTINSXP,1,0,environment,eager,fixed,identity,scalar,none,drop,none,environment,none,none,none
93,...names,do_dotsNames,src/main/envir.c,0,BUILTINSXP,1,0,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,none,none
94,length,do_length,src/main/array.c,0,BUILTINSXP,1,1,matrix,eager,fixed,identity,scalar,dimensions,dimensions,none,pure,none,none,length
95,length<-,do_lengthgets,src/main/builtin.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,methods,environment,resize,none,none
96,oldClass,do_class,src/main/attrib.c,0,BUILTINSXP,1,1,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,get-key,none
97,oldClass<-,do_classgets,src/main/attrib.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,object,environment,attribute-key,none,none
98,class,R_do_data_class,src/main/attrib.c,0,BUILTINSXP,1,1,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,data-class,none
99,.cache_class,R_do_data_class,src/main/attrib.c,1,BUILTINSXP,1,2,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,data-class,none
100,.class2,R_do_data_class,src/main/attrib.c,2,BUILTINSXP,1,1,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,data-class,none
101,class<-,R_do_set_class,src/main/coerce.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,object,environment,attribute-key,none,none
102,unclass,do_unclass,src/main/objects.c,0,BUILTINSXP,1,1,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,unclass,none
103,names,do_names,src/main/attrib.c,0,BUILTINSXP,1,1,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,get-key,none
104,names<-,do_namesgets,src/main/attrib.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,object,environment,attribute-key,none,none
105,dimnames,do_dimnames,src/main/attrib.c,0,BUILTINSXP,1,1,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,get-key,none
106,dimnames<-,do_dimnamesgets,src/main/attrib.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,object,environment,attribute-key,none,none
107,dim,do_dim,src/main/attrib.c,0,BUILTINSXP,1,1,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,get-key,none
108,dim<-,do_dimgets,src/main/attrib.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,object,environment,attribute-key,none,none
109,attributes,do_attributes,src/main/attrib.c,0,BUILTINSXP,1,1,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,get-map,none
110,attributes<-,do_attributesgets,src/main/attrib.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,object,environment,attribute-map,none,none
111,attr,do_attr,src/main/attrib.c,0,BUILTINSXP,1,-1,attribute,eager,variadic,identity,scalar,none,central,object,pure,none,get-named,none
112,attr<-,do_attrgets,src/main/attrib.c,0,BUILTINSXP,1,3,replacement,eager,fixed,identity,scalar,none,replace,object,environment,attribute-named,none,none
113,@<-,do_attrgets,src/main/attrib.c,1,SPECIALSXP,0,3,replacement,special,fixed,identity,scalar,none,replace,object,environment,attribute-named,none,none
114,levels<-,do_levelsgets,src/main/attrib.c,0,BUILTINSXP,1,2,replacement,eager,fixed,identity,scalar,none,replace,object,environment,attribute-key,none,none
115,vector,do_makevector,src/main/builtin.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
116,complex,do_complex,src/main/complex.c,0,BUILTINSXP,11,3,numeric-complex,eager,fixed,complex,elementwise-recycle,none,drop,none,pure,none,none,none
117,matrix,do_matrix,src/main/array.c,0,BUILTINSXP,11,7,matrix,eager,fixed,numeric,column-major,dimensions,dimensions,none,pure,none,none,construct-matrix
118,array,do_array,src/main/array.c,0,BUILTINSXP,11,3,matrix,eager,fixed,numeric,column-major,dimensions,dimensions,none,pure,none,none,construct-array
119,diag,do_diag,src/main/array.c,0,BUILTINSXP,11,3,matrix,eager,fixed,numeric,column-major,dimensions,dimensions,none,pure,none,none,diagonal
120,backsolve,do_backsolve,src/main/array.c,0,BUILTINSXP,11,5,matrix,eager,fixed,identity,scalar,dimensions,dimensions,none,pure,none,none,array-runtime
121,max.col,do_maxcol,src/main/array.c,0,BUILTINSXP,11,2,matrix,eager,fixed,identity,scalar,dimensions,dimensions,none,pure,none,none,array-runtime
122,row,do_rowscols,src/main/array.c,1,BUILTINSXP,11,1,matrix,eager,fixed,identity,scalar,dimensions,dimensions,none,pure,none,none,coordinates
123,col,do_rowscols,src/main/array.c,2,BUILTINSXP,11,1,matrix,eager,fixed,identity,scalar,dimensions,dimensions,none,pure,none,none,coordinates
124,unlist,do_unlist,src/main/bind.c,0,BUILTINSXP,11,3,combine,eager,fixed,identity,recycle,none,combine,none,pure,none,none,none
125,cbind,do_bind,src/main/bind.c,1,SPECIALSXP,10,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
126,rbind,do_bind,src/main/bind.c,2,SPECIALSXP,10,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
127,drop,do_drop,src/main/array.c,0,BUILTINSXP,11,1,matrix,eager,fixed,identity,scalar,dimensions,dimensions,none,pure,none,none,drop
128,all.names,do_allnames,src/main/list.c,0,BUILTINSXP,11,4,attribute,eager,fixed,identity,scalar,none,central,object,pure,none,none,none
129,comment,do_comment,src/main/attrib.c,0,BUILTINSXP,11,1,attribute,eager,fixed,identity,scalar,none,central,none,pure,none,get-key,none
130,comment<-,do_commentgets,src/main/attrib.c,0,BUILTINSXP,11,2,replacement,eager,fixed,identity,scalar,none,replace,methods,environment,attribute-key,none,none
131,get,do_get,src/main/envir.c,1,BUILTINSXP,11,4,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
132,get0,do_get,src/main/envir.c,2,BUILTINSXP,11,5,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
133,mget,do_mget,src/main/envir.c,1,BUILTINSXP,11,5,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
134,exists,do_get,src/main/envir.c,0,BUILTINSXP,11,4,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
135,assign,do_assign,src/main/envir.c,0,BUILTINSXP,111,4,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
136,list2env,do_list2env,src/main/envir.c,0,BUILTINSXP,11,2,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
137,remove,do_remove,src/main/envir.c,0,BUILTINSXP,111,3,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
138,duplicated,do_duplicated,src/main/unique.c,0,BUILTINSXP,11,4,matching,eager,fixed,identity,hash-or-order,none,drop,none,pure,none,none,none
139,unique,do_duplicated,src/main/unique.c,1,BUILTINSXP,11,4,matching,eager,fixed,identity,hash-or-order,none,drop,none,pure,none,none,none
140,anyDuplicated,do_duplicated,src/main/unique.c,2,BUILTINSXP,11,3,matching,eager,fixed,identity,hash-or-order,none,drop,none,pure,none,none,none
141,anyNA,do_anyNA,src/main/coerce.c,0,BUILTINSXP,1,-1,missingness,eager,variadic,identity,elementwise-or-reduce,none,inspect,object,pure,none,none,none
142,which,do_which,src/main/summary.c,0,BUILTINSXP,11,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
143,which.min,do_first_min,src/main/summary.c,0,BUILTINSXP,11,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
144,pmin,do_pmin,src/main/summary.c,0,BUILTINSXP,11,-1,reduction,eager,variadic,common-numeric,reduce,none,summary,summary-group,pure,none,none,none
145,pmax,do_pmin,src/main/summary.c,1,BUILTINSXP,11,-1,reduction,eager,variadic,common-numeric,reduce,none,summary,summary-group,pure,none,none,none
146,which.max,do_first_min,src/main/summary.c,1,BUILTINSXP,11,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
147,match,do_match,src/main/unique.c,0,BUILTINSXP,11,4,matching,eager,fixed,identity,hash-or-order,none,drop,none,pure,none,none,none
148,pmatch,do_pmatch,src/main/unique.c,0,BUILTINSXP,11,4,matching,eager,fixed,identity,hash-or-order,none,drop,none,pure,none,none,none
149,charmatch,do_charmatch,src/main/unique.c,0,BUILTINSXP,11,3,character,eager,fixed,character,elementwise-recycle,none,drop,none,pure,none,none,none
150,match.call,do_matchcall,src/main/unique.c,0,BUILTINSXP,11,4,matching,eager,fixed,identity,hash-or-order,none,drop,none,pure,none,none,none
151,crossprod,do_matprod,src/main/array.c,1,BUILTINSXP,1,1,matrix,eager,fixed,numeric,column-major,dimensions,dimensions,none,pure,none,none,product
152,tcrossprod,do_matprod,src/main/array.c,2,BUILTINSXP,1,1,matrix,eager,fixed,numeric,column-major,dimensions,dimensions,none,pure,none,none,product
153,asplit,do_asplit,src/main/array.c,0,BUILTINSXP,11,8,matrix,eager,fixed,identity,scalar,dimensions,dimensions,none,pure,none,none,array-runtime
154,lengths,do_lengths,src/main/array.c,0,BUILTINSXP,11,2,matrix,eager,fixed,identity,scalar,dimensions,dimensions,none,pure,none,none,array-runtime
155,sequence,do_sequence,src/main/seq.c,0,BUILTINSXP,11,4,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
156,vhash,do_vhash,src/main/unique.c,0,BUILTINSXP,11,-1,matching,eager,variadic,identity,hash-or-order,none,drop,none,pure,none,none,none
157,attach,do_attach,src/main/envir.c,0,BUILTINSXP,111,3,environment,eager,fixed,identity,scalar,none,drop,none,environment,none,none,none
158,detach,do_detach,src/main/envir.c,0,BUILTINSXP,111,1,environment,eager,fixed,identity,scalar,none,drop,none,environment,none,none,none
159,search,do_search,src/main/envir.c,0,BUILTINSXP,11,0,environment,eager,fixed,identity,scalar,none,drop,none,environment,none,none,none
160,setFileTime,do_setFileTime,src/main/platform.c,0,BUILTINSXP,111,2,io,eager,fixed,identity,scalar,none,drop,none,external-io,none,none,none
161,round,do_Math2,src/main/arithmetic.c,10001,SPECIALSXP,0,-1,numeric-unary,special,variadic,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
162,signif,do_Math2,src/main/arithmetic.c,10004,SPECIALSXP,0,-1,numeric-unary,special,variadic,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
163,log,do_log,src/main/arithmetic.c,10003,SPECIALSXP,0,-1,numeric-unary,special,variadic,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
164,log10,do_log1arg,src/main/arithmetic.c,10010,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
165,log2,do_log1arg,src/main/arithmetic.c,10002,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
166,abs,do_abs,src/main/arithmetic.c,6,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
167,floor,do_math1,src/main/arithmetic.c,1,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
168,ceiling,do_math1,src/main/arithmetic.c,2,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
169,sqrt,do_math1,src/main/arithmetic.c,3,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
170,sign,do_math1,src/main/arithmetic.c,4,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
171,trunc,do_trunc,src/main/arithmetic.c,5,BUILTINSXP,1,-1,numeric-unary,eager,variadic,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
172,exp,do_math1,src/main/arithmetic.c,10,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
173,expm1,do_math1,src/main/arithmetic.c,11,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
174,log1p,do_math1,src/main/arithmetic.c,12,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
175,cos,do_math1,src/main/arithmetic.c,20,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
176,sin,do_math1,src/main/arithmetic.c,21,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
177,tan,do_math1,src/main/arithmetic.c,22,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
178,acos,do_math1,src/main/arithmetic.c,23,BUILTINSXP,1,1,numeric-unary,eager,fixed,numeric,elementwise-recycle,none,group,group-generic,pure,none,none,none
